  Temperature      Weight        HeatFlow
      °C              %             W/g
     98.46          96.33          7.570
     98.54          96.33          7.568
     98.62          96.33          7.567
     98.70          96.32          7.566
     98.79          96.32          7.565
     98.87          96.32          7.563
     98.95          96.31          7.562
     99.03          96.31          7.561
     99.12          96.31          7.560
     99.20          96.30          7.559
     99.28          96.30          7.558
     99.37          96.30          7.557
     99.45          96.29          7.555
     99.53          96.29          7.554
     99.61          96.29          7.553
     99.69          96.28          7.552
     99.78          96.28          7.551
     99.86          96.28          7.550
     99.94          96.27          7.548
    100.02          96.27          7.547
    100.11          96.27          7.546
    100.19          96.26          7.545
    100.27          96.26          7.544
    100.35          96.26          7.543
    100.43          96.25          7.541
    100.52          96.25          7.540
    100.60          96.25          7.539
    100.68          96.24          7.538
    100.76          96.24          7.537
    100.85          96.24          7.536
    100.94          96.24          7.535
    101.02          96.24          7.534
    101.10          96.23          7.532
    101.18          96.23          7.531
    101.27          96.23          7.530
    101.35          96.22          7.529
    101.43          96.22          7.528
    101.52          96.22          7.527
    101.60          96.22          7.526
    101.68          96.21          7.525
    101.77          96.21          7.524
    101.85          96.20          7.523
    101.93          96.20          7.522
    102.01          96.20          7.521
    102.10          96.20          7.520
    102.18          96.19          7.519
    102.26          96.19          7.519
    102.34          96.19          7.518
    102.42          96.18          7.517
    102.51          96.18          7.516
    102.60          96.18          7.515
    102.68          96.17          7.514
    102.76          96.17          7.513
    102.85          96.16          7.512
    102.93          96.16          7.511
    103.01          96.16          7.510
    103.09          96.15          7.509
    103.18          96.15          7.508
    103.26          96.15          7.507
    103.34          96.14          7.506
    103.42          96.14          7.505
    103.51          96.14          7.504
    103.59          96.14          7.503
    103.67          96.14          7.502
    103.75          96.14          7.501
    103.83          96.13          7.500
    103.92          96.13          7.499
    104.00          96.13          7.499
    104.09          96.13          7.498
    104.17          96.13          7.497
    104.25          96.12          7.496
    104.34          96.12          7.495
    104.42          96.12          7.495
    104.51          96.11          7.494
    104.59          96.11          7.493
    104.67          96.11          7.492
    104.76          96.10          7.492
    104.84          96.10          7.491
    104.92          96.10          7.490
    105.00          96.10          7.489
    105.08          96.09          7.489
    105.16          96.09          7.488
    105.25          96.09          7.487
    105.34          96.09          7.486
    105.42          96.08          7.486
    105.50          96.08          7.485
    105.59          96.08          7.484
    105.67          96.08          7.484
    105.75          96.07          7.483
    105.83          96.07          7.483
    105.91          96.07          7.482
    105.99          96.07          7.482
    106.08          96.06          7.481
    106.17          96.06          7.480
    106.25          96.06          7.480
    106.33          96.06          7.479
    106.41          96.05          7.478
    106.50          96.05          7.477
    106.58          96.05          7.477
    106.66          96.04          7.476
    106.75          96.04          7.475
    106.83          96.04          7.474
    106.92          96.04          7.474
    107.00          96.03          7.473
    107.09          96.03          7.472
    107.16          96.03          7.472
    107.25          96.03          7.471
    107.34          96.03          7.470
    107.41          96.02          7.470
    107.50          96.02          7.469
    107.58          96.02          7.469
    107.67          96.02          7.468
    107.75          96.02          7.467
    107.83          96.01          7.467
    107.92          96.01          7.466
    108.00          96.01          7.465
    108.08          96.01          7.465
    108.17          96.00          7.464
    108.25          96.00          7.463
    108.34          96.00          7.463
    108.42          96.00          7.462
    108.50          96.00          7.462
    108.58          95.99          7.461
    108.67          95.99          7.461
    108.75          95.99          7.460
    108.84          95.99          7.460
    108.92          95.99          7.459
    109.00          95.98          7.459
    109.09          95.98          7.458
    109.17          95.98          7.457
    109.25          95.98          7.457
    109.33          95.97          7.456
    109.42          95.97          7.456
    109.50          95.97          7.455
    109.59          95.96          7.455
    109.67          95.96          7.454
    109.75          95.95          7.454
    109.83          95.95          7.454
    109.91          95.95          7.453
    110.00          95.95          7.453
    110.09          95.94          7.452
    110.17          95.94          7.452
    110.25          95.94          7.451
    110.34          95.94          7.451
    110.42          95.94          7.451
    110.50          95.94          7.450
    110.58          95.93          7.450
    110.67          95.93          7.449
    110.76          95.93          7.449
    110.84          95.92          7.449
    110.92          95.92          7.448
    111.01          95.92          7.448
    111.09          95.92          7.448
    111.17          95.92          7.448
    111.25          95.92          7.447
    111.34          95.92          7.447
    111.42          95.92          7.447
    111.50          95.92          7.446
    111.59          95.92          7.446
    111.67          95.91          7.446
    111.76          95.91          7.445
    111.84          95.91          7.445
    111.92          95.91          7.445
    112.01          95.91          7.444
    112.09          95.91          7.444
    112.17          95.90          7.443
    112.25          95.90          7.443
    112.34          95.90          7.442
    112.42          95.90          7.442
    112.51          95.89          7.442
    112.59          95.89          7.441
    112.67          95.89          7.441
    112.76          95.89          7.441
    112.84          95.89          7.440
    112.92          95.89          7.440
    113.01          95.88          7.439
    113.09          95.88          7.439
    113.17          95.88          7.439
    113.25          95.88          7.439
    113.34          95.88          7.438
    113.42          95.88          7.438
    113.51          95.87          7.438
    113.59          95.87          7.437
    113.67          95.87          7.437
    113.76          95.87          7.437
    113.84          95.87          7.437
    113.93          95.87          7.437
    114.01          95.87          7.437
    114.09          95.86          7.436
    114.18          95.86          7.436
    114.26          95.86          7.436
    114.34          95.86          7.436
    114.42          95.86          7.435
    114.51          95.86          7.435
    114.59          95.86          7.435
    114.67          95.85          7.434
    114.75          95.85          7.434
    114.84          95.85          7.434
    114.92          95.85          7.433
    115.01          95.85          7.433
    115.09          95.85          7.433
    115.17          95.84          7.432
    115.26          95.84          7.432
    115.34          95.84          7.432
    115.43          95.84          7.432
    115.51          95.84          7.431
    115.59          95.84          7.431
    115.68          95.83          7.431
    115.76          95.83          7.431
    115.84          95.83          7.431
    115.92          95.83          7.431
    116.00          95.83          7.430
    116.09          95.83          7.430
    116.17          95.83          7.430
    116.24          95.82          7.430
    116.34          95.82          7.430
    116.42          95.82          7.429
    116.51          95.82          7.429
    116.59          95.82          7.429
    116.68          95.82          7.428
    116.76          95.81          7.428
    116.84          95.81          7.428
    116.92          95.81          7.427
    117.01          95.81          7.427
    117.09          95.81          7.427
    117.17          95.80          7.427
    117.26          95.80          7.427
    117.34          95.80          7.426
    117.42          95.80          7.426
    117.51          95.80          7.426
    117.59          95.80          7.426
    117.67          95.80          7.425
    117.76          95.80          7.425
    117.84          95.80          7.425
    117.93          95.79          7.424
    118.01          95.79          7.424
    118.09          95.79          7.424
    118.17          95.79          7.424
    118.26          95.79          7.424
    118.34          95.79          7.423
    118.43          95.79          7.423
    118.51          95.79          7.423
    118.59          95.78          7.422
